DATE,AAA_BETA0,AAA_BETA1,AAA_BETA2,AAA_BETA3,AAA_TAU1,AAA_TAU2,BBB_BETA0,BBB_BETA1,BBB_BETA2,BBB_BETA3,BBB_TAU1,BBB_TAU2
20.10.2004,5.26687845,-3.218706576,-0.356589859,-1.440856528,3.154966097,1.692218979,5.217029871,-3.209522226,1.699724454,-1.22686606,5.610898418,1.792129258
21.10.2004,5.252375422,-3.204842759,-0.345094821,-1.412576663,3.145881349,1.714820487,5.207614177,-3.202186159,1.687618727,-1.180040219,5.60900369,1.816809974
22.10.2004,5.250805037,-3.202225266,-0.341439141,-1.382771555,3.144936114,1.748174603,5.216600642,-3.213274361,1.6581292,-1.122534668,5.618263062,1.855977861
25.10.2004,5.247536273,-3.19341096,-0.393721146,-1.443338311,3.210916511,1.730115178,5.215264822,-3.197924351,1.600492177,-1.248052084,5.669163819,1.821936956
26.10.2004,5.249864529,-3.18760527,-0.408779601,-1.452549438,3.229217631,1.72188539,5.226680158,-3.201920283,1.578964864,-1.269876497,5.686177334,1.82398432
27.10.2004,5.23784223,-3.16882224,-0.39828686,-1.433349682,3.223101744,1.705956735,5.202818066,-3.17401525,1.586744659,-1.255707838,5.671472237,1.812713393
28.10.2004,5.261209636,-3.209657555,-0.265025481,-1.256301187,3.210921891,1.722224197,5.209728205,-3.19168139,1.699014627,-1.035497923,5.626652452,1.81153645
29.10.2004,5.33887063,-3.303712229,-0.426030523,-1.070870037,3.514164803,1.965158758,5.295629812,-3.296330805,1.530912966,-0.992959959,5.788138916,2.109615945
01.11.2004,5.323779433,-3.266704101,-0.350685801,-1.261970939,3.409794469,1.715326781,5.19689171,-3.178335026,1.638955963,-1.117282136,5.675957943,1.827421148
02.11.2004,5.31364441,-3.258790703,-0.307250286,-1.206681654,3.365565486,1.73805511,5.116277298,-3.111452583,2.309785884,-1.43703852,5.600454957,2.392678031
03.11.2004,5.313098212,-3.31221433,-0.278366488,-1.142410484,3.333988304,1.834090138,5.124910123,-3.162365967,2.320760131,-1.35814445,5.593835432,2.485858372
04.11.2004,5.310989988,-3.325547763,-0.267587875,-1.130889675,3.32034297,1.856429739,5.125196205,-3.162632648,2.326046463,-1.36741401,5.594189816,2.473938782
05.11.2004,5.30914109,-3.344205424,-0.255656041,-1.108883139,3.306592497,1.888296676,5.118440405,-3.166235228,2.338663837,-1.352445845,5.583188373,2.472168035
08.11.2004,5.313446712,-3.376445159,-0.245225048,-1.078396128,3.288997207,1.983705062,5.108315662,-3.166535992,2.352157498,-1.335501061,5.570846556,2.471703465
09.11.2004,5.217771844,-3.124318244,-0.266906505,-1.29547825,3.261464667,1.83938176,5.027276328,-2.986172768,2.308703692,-1.451805223,5.628774741,2.40342831
10.11.2004,5.165083873,-3.06946148,-0.035057086,-1.861823805,2.893033423,2.056566408,4.993963604,-2.943837951,2.32262507,-1.526210699,5.625312187,2.314247748
11.11.2004,5.149143051,-3.02628345,-0.070894159,-1.957840457,2.928779749,1.913242521,4.974877642,-2.919181416,2.322579284,-1.641685978,5.635269136,2.19371509
12.11.2004,5.122635832,-3.012364253,-0.065110074,-1.94328648,2.930116782,1.948058247,4.946144778,-2.896480951,2.297740305,-1.623703071,5.642052006,2.234234023
15.11.2004,5.094071461,-2.973680904,-0.082783436,-1.954537932,2.956249526,1.967298591,4.932124918,-2.871721072,2.247158448,-1.661516241,5.682155134,2.263288071
16.11.2004,5.069418609,-2.968854669,-0.058583579,-1.867645363,2.940743505,2.146929333,4.916877515,-2.86131665,2.197142225,-1.556975316,5.687755694,2.451596261
17.11.2004,5.090763352,-2.989532244,-0.05261092,-1.872778255,2.939569933,2.124948403,4.933438073,-2.882758595,2.223365276,-1.550090143,5.67842528,2.431903878
18.11.2004,5.115572862,-3.021245411,-0.022775354,-1.819370708,2.923846868,2.199914383,4.966129752,-2.914709611,2.226188709,-1.467334405,5.667576116,2.539522815
19.11.2004,5.098891195,-2.998043064,-0.034130352,-1.848167056,2.938371806,2.156871259,4.946732878,-2.897939221,2.224220606,-1.502709775,5.671023535,2.503511
22.11.2004,5.078563652,-2.973447739,-0.054141143,-1.88126969,2.961268535,2.130554251,4.926589715,-2.876123449,2.210127161,-1.561692096,5.688436208,2.466058323
23.11.2004,5.064458481,-2.950351308,-0.056333539,-1.897691287,2.963613313,2.100387117,4.909293318,-2.851077706,2.21154675,-1.591894784,5.686847124,2.432705657
24.11.2004,5.06528556,-2.944964411,-0.077603384,-1.956257816,2.983004178,2.013005008,4.893135038,-2.818878642,2.220002974,-1.703523591,5.686491183,2.267456
25.11.2004,5.050901347,-2.941252251,-0.083120038,-1.97929387,2.986637109,1.967499168,4.869172012,-2.805087136,2.212698346,-1.728690659,5.671543282,2.185326003
26.11.2004,5.017464797,-2.909812086,-0.059192561,-1.971984936,2.962785372,1.915083679,4.838479923,-2.78001999,2.219385888,-1.705882396,5.642657784,2.143491207
29.11.2004,5.048122042,-2.940023804,-0.023459264,-1.921941941,2.945607471,1.942757214,4.884756678,-2.838809598,2.228461033,-1.583833437,5.626367948,2.229825525
30.11.2004,5.038450195,-2.935552735,-0.045805743,-1.947017742,2.96942553,1.928005006,4.885450691,-2.841261793,2.190859399,-1.636910405,5.652305967,2.206176807
01.12.2004,5.013276596,-2.91333772,-0.059740366,-1.970424427,2.984248462,1.888617527,4.86079043,-2.820081188,2.162783089,-1.676691576,5.653167303,2.138349594
02.12.2004,5.013726424,-2.909787023,-0.017181201,-1.889957448,2.940729527,1.939692632,4.888173959,-2.85219398,2.151742442,-1.52231779,5.63426249,2.279417754
03.12.2004,5.022732645,-2.915097952,-0.066356118,-1.936758418,2.991931351,1.95547775,4.890220333,-2.846072202,2.10971286,-1.613603183,5.673677701,2.244306522
06.12.2004,4.987152434,-2.884397997,-0.095333629,-1.982615076,3.0616038,1.887511681,4.850249347,-2.804284076,2.070010469,-1.717752421,5.735808136,2.121664523
07.12.2004,4.980011674,-2.875863405,-0.122735509,-1.991508727,3.094169461,1.928662938,4.865167267,-2.822823126,2.013617595,-1.732386738,5.777211945,2.193809176
08.12.2004,4.956224083,-2.858869323,-0.088149767,-1.918790453,3.064355521,1.985442854,4.830528531,-2.789266508,2.01751,-1.637901615,5.740840181,2.243209732
09.12.2004,4.886601094,-2.792076874,-0.090717441,-1.895101596,3.166643091,2.017566775,4.764920018,-2.725153748,1.950053895,-1.651781916,5.836243982,2.27465185
10.12.2004,4.857814472,-2.754461431,-0.094176304,-1.862078251,3.173118961,2.084846493,4.759503171,-2.715960726,1.900120316,-1.613835474,5.857850844,2.395389716
13.12.2004,4.847938915,-2.757584078,-0.067404588,-1.836401931,3.152064744,2.068411318,4.739020933,-2.699784687,1.929078604,-1.592017205,5.82969309,2.354087654
14.12.2004,4.817362162,-2.720339943,-0.0595259,-1.821321229,3.147829978,2.073220308,4.695794681,-2.653544409,1.923677883,-1.566968243,5.811649759,2.345323499
15.12.2004,4.755337207,-2.658679989,-0.063051404,-1.805988309,3.155911957,2.092660763,4.638019451,-2.595570746,1.880349951,-1.563352146,5.82082367,2.375987441
16.12.2004,4.750916269,-2.676977812,-0.014055594,-1.64939074,3.116217941,2.241468947,4.665820403,-2.647285557,1.811061512,-1.309641424,5.802290779,2.612574654
17.12.2004,4.761559478,-2.696349296,0.059429917,-1.549355019,3.088832069,2.266807922,4.66344296,-2.640871048,1.865451036,-1.183352333,5.771413829,2.626369765
20.12.2004,4.767468986,-2.685825654,-0.000771278,-1.627706739,3.156713882,2.214218843,4.658538705,-2.617929644,1.850455556,-1.348066067,5.799248321,2.496061354
21.12.2004,4.780037969,-2.655081395,0.002615049,-1.599256315,3.130371492,2.246882635,4.724404201,-2.694418819,1.754985599,-1.144958124,5.826622536,2.809894922
22.12.2004,4.829954158,-2.778409718,-0.018513237,-1.440225083,3.154608971,2.70498266,4.783292195,-2.772022419,1.6163094,-0.981755843,5.877938603,3.136489952
23.12.2004,4.846293972,-2.801590609,-0.066017316,-1.483287474,3.217246405,2.703044596,4.812943008,-2.809097181,1.580483984,-1.07459634,5.923156687,3.120310339
